Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added,Biological_Unit
166218,869799,NA,NA,3.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166219,869801,NA,2.1,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166220,523800,NA,0.7,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166221,523894,NA,0.4,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166222,523923,NA,0.5,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166223,523994,NA,0.9,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166224,141686,NA,2.5,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166225,160308,NA,4.5,6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166226,599134,NA,0.09,0.27,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166227,564878,NA,NA,2.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166228,511782,NA,NA,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166229,490986,NA,0.4,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166230,490987,NA,0.5,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166231,490988,NA,0.6,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166232,463442,NA,2,4.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166233,463443,NA,NA,6.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166234,457680,NA,2,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166235,724099,NA,1.6,1.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166236,584746,NA,0.8,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166237,881084,NA,0.62,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166238,598536,NA,0.13,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166239,139942,4,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166240,492395,NA,0.68,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166241,598231,NA,0.5,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166242,584759,NA,0.75,0.85,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166243,559050,NA,NA,8.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166244,545090,0.25,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166245,565808,NA,0.09,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166246,598706,NA,NA,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166247,476493,NA,7.2,15.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166248,456868,0.8,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166249,456845,NA,NA,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166250,555142,NA,3.5,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166251,558907,6,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166252,550142,NA,0.22,0.35,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166253,550141,NA,0.32,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166254,448400,NA,3.7,8.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166255,447113,NA,1.9,4.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166256,1322448,2,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166257,140022,4,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166258,584310,NA,5,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166259,597349,4.5,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166260,395705,4.8,2.2,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166261,577124,NA,NA,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166262,598694,NA,0.07,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166263,599082,NA,0.33,0.65,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166264,524634,NA,1.3,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166265,445302,8.3,5.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166266,445331,15,12,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166267,390555,6.4,4.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166268,390555,7.3,4.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166269,217089,1.1,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166270,598596,NA,0.155,0.245,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166271,598597,NA,0.125,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166272,598599,NA,0.12,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166273,598600,NA,0.134,0.205,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166274,598601,NA,0.195,0.159,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166275,598602,NA,0.18,0.26,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166276,598603,NA,0.17,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166277,598604,NA,0.06,0.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166278,598605,NA,0.14,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166279,564978,2.2,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166280,395188,NA,5.6,8.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166281,395189,NA,2.5,4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166282,395190,NA,2,3.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166283,706587,NA,0.75,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166284,214974,NA,1.18,0.65,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166285,596944,NA,NA,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166286,512095,NA,0.5,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166287,598367,NA,0.65,0.65,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166288,512099,NA,0.5,0.49,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166289,512100,NA,1.45,1.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166290,512101,NA,0.285,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166291,434004,NA,0.25,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166292,598428,NA,0.9,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166293,991815,1.6,1.2,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166294,458030,NA,1.5,2.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166295,598751,NA,2.3,3.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166296,591440,NA,0.1,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166297,593319,NA,0.26,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166298,593318,NA,0.17,0.13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166299,215424,NA,4,4.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166300,215423,7,NA,6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166301,536296,NA,0.3,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166302,1061531,NA,NA,2.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166303,1061571,NA,1,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166304,492790,0.12,0.13,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166305,1567682,NA,NA,0.71,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166306,599045,NA,0.3,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166307,524038,NA,0.23,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166308,491035,NA,0.8,2.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166309,1063804,NA,2.3,7.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166310,599087,NA,0.13,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166311,140154,NA,2.1,2.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166312,214493,NA,2.6,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166313,140155,NA,4,3.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166314,225271,NA,1.7,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166315,599255,5,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166316,592009,NA,0.11,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166317,533979,1.6,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166318,599044,NA,0.55,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166319,446897,NA,0.12,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166320,446899,NA,0.175,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166321,446903,NA,0.2,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166322,598670,1.8,1.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166323,1567667,NA,0.7,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166324,1567668,NA,0.33,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166325,1567665,NA,1,2.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166326,493038,NA,0.11,0.05,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166327,493039,NA,0.12,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166328,493040,NA,0.09,0.09,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166329,598148,NA,0.05,0.125,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166330,493041,NA,0.15,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166331,598759,NA,0.45,1.24,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166332,598369,NA,0.18,0.13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166333,598370,NA,0.185,0.115,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166334,598372,NA,0.35,0.235,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166335,598373,NA,0.255,0.165,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166336,140110,2,1.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166337,592816,NA,0.385,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166338,592815,NA,0.23,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166339,599260,NA,0.175,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166340,434212,NA,0.35,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166341,599034,NA,NA,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166342,434230,NA,1.1,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166343,564994,NA,NA,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166344,141114,NA,NA,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166345,598363,NA,0.095,0.055,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166346,598364,NA,0.16,0.13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166347,434291,NA,0.2,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166348,434292,NA,0.32,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166349,434293,NA,0.27,0.78,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166350,511831,NA,0.22,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166351,511832,NA,0.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166352,511835,NA,NA,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166353,511837,NA,0.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166354,598560,NA,0.092,0.166,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166355,598561,NA,0.072,0.118,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166356,598308,NA,0.19,0.24,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166357,598311,NA,0.075,0.06,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166358,598313,NA,0.14,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166359,598314,NA,0.13,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166360,598315,NA,0.18,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166361,598316,NA,0.09,0.063,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166362,598317,NA,0.2,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166363,598321,NA,0.07,0.085,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166364,598322,NA,0.1,0.123,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166365,598325,NA,0.225,0.223,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166366,565298,NA,0.14,0.075,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166367,565299,NA,0.072,0.046,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166368,413416,NA,9.1,8.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166369,530884,5.5,3.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166370,743445,NA,1.6,3.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166371,511839,NA,0.2,0.36,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166372,511840,NA,0.4,0.85,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166373,511842,NA,0.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166374,511843,NA,0.5,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166375,434315,NA,NA,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166376,217025,NA,NA,7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166377,598662,2.2,1.4,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166378,569984,NA,3,3.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166379,598429,NA,0.5,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166380,397135,NA,2.8,9.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166381,567922,0.45,0.3,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166382,397136,6,4,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166383,395704,2.8,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166384,564625,3,2.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166385,395703,3.7,2,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166386,572324,2.9,2.2,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166387,434372,NA,0.17,0.46,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166388,434374,NA,0.17,0.46,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166389,598992,NA,0.37,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166390,598994,NA,0.25,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166391,435548,NA,0.4,1.05,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166392,533026,1.1,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166393,759498,NA,1.1,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166394,599262,NA,0.6,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166395,599263,NA,0.48,0.75,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166396,525544,NA,0.16,0.35,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166397,525555,NA,0.2,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166398,1264397,NA,2.8,3.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166399,881013,3.7,NA,3.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166400,881014,NA,0.65,0.86,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166401,759500,NA,2.2,2.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166402,881016,NA,5.6,5.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166403,881072,NA,3.29,3.38,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166404,881018,NA,4.5,5.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166405,759501,NA,6,6.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166406,881046,NA,1.7,2.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166407,467361,NA,4.2,4.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166408,881048,NA,3,3.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166409,881049,NA,4.5,4.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166410,467362,NA,4.2,3.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166411,881051,NA,2.8,3.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166412,757965,NA,4.4,4.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166413,881052,NA,5.3,5.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166414,881011,NA,4.7,5.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166415,881053,NA,0.93,1.26,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166416,759502,NA,6.7,5.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166417,881054,NA,5.8,6.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166418,881055,NA,4.7,5.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166419,881057,NA,9.7,10.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166420,467363,NA,8,5.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166421,759503,NA,5.7,4.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166422,599182,NA,0.95,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166423,599183,NA,1,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166424,599259,1.76,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166425,598707,NA,0.13,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166426,598708,NA,0.225,0.575,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166427,565848,NA,0.225,0.575,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166428,598710,NA,0.6,1.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166429,598711,NA,NA,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166430,598715,NA,0.15,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166431,566165,NA,0.2,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166432,591277,2,0.5,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166433,591980,NA,NA,0.595,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166434,591981,NA,0.125,0.325,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166435,591960,NA,0.12,0.44,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166436,591963,NA,0.12,0.35,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166437,578491,NA,0.065,0.135,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166438,578492,NA,0.15,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166439,578460,NA,0.125,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166440,578499,NA,0.155,0.34,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166441,578500,NA,0.1,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166442,578503,NA,0.11,0.29,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166443,578505,NA,0.13,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166444,578508,NA,0.14,0.21,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166445,578509,NA,0.13,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166446,578512,NA,0.14,0.36,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166447,578513,NA,0.12,0.28,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166448,578515,NA,0.17,0.44,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166449,473912,NA,0.3,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166450,473913,NA,0.27,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166451,473916,NA,0.35,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166452,457864,NA,0.48,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166453,473917,NA,0.22,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166454,473920,NA,0.32,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166455,457865,NA,NA,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166456,473928,NA,0.22,0.36,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166457,473930,NA,0.5,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166458,579386,0.3,0.25,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166459,565196,NA,NA,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166460,565198,NA,NA,0.42,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166461,565199,NA,0.12,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166462,565200,NA,0.15,0.56,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166463,463457,NA,1.2,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166464,596845,NA,2.4,5.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166465,876694,NA,1.6,2.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166466,724124,NA,NA,1.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166467,876695,NA,2.1,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166468,716307,NA,0.7,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166469,724125,NA,1,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166470,876685,NA,0.8,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166471,598505,NA,0.06,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166472,598749,NA,0.95,2.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166473,450654,NA,0.35,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166474,432785,NA,0.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166475,598997,NA,0.28,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166476,432795,NA,0.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166477,598999,NA,0.3,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166478,413417,NA,9,9.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166479,565205,2,1.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166480,598179,3.3,2.4,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166481,565204,1,0.81,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166482,598183,2.8,1.8,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166483,724156,NA,NA,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166484,476520,NA,3.6,6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166485,476531,NA,8,14.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166486,407604,NA,0.6,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166487,598193,1.2,1,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166488,403717,NA,NA,3.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166489,598275,NA,0.1,0.045,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166490,598282,NA,0.32,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166491,524041,NA,0.16,0.47,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166492,524042,NA,0.16,0.57,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166493,757499,NA,1.7,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166494,407866,NA,1.4,3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166495,407875,NA,4.8,8.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166496,407889,NA,NA,1.05,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166497,139673,0.9,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166498,598672,NA,1.85,2.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166499,197298,6,4.8,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166500,598163,5,4,2.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166501,1075009,3.3,2,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166502,491139,NA,2.8,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166503,572145,NA,2,3.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166504,572156,NA,1.4,2.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166505,599186,NA,0.22,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166506,416953,NA,NA,4.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166507,599006,NA,0.5,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166508,832156,NA,0.3,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166509,434468,NA,0.37,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166510,434469,NA,0.42,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166511,434470,NA,0.55,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166512,434471,NA,0.5,1.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166513,434472,NA,0.4,0.95,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166514,434473,NA,0.7,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166515,434474,NA,0.45,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166516,396973,NA,2.2,3.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166517,434489,NA,0.13,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166518,713886,NA,3.6,3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166519,456621,1.1,0.9,0.35,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166520,511351,5.7,2.3,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166521,511352,1.6,1.4,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166522,456622,2,1,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
166523,456626,1.2,0.9,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
