Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added
113684,408721,0.93,,,IM-2000-190 Holotype,"{, 2023 #837}",10/15/23
113685,408799,0.7,,,IM-2000-193 Holotype,"{, 2023 #837}",10/15/23
113686,404860,1.76,,,IM-2000-196 Holotype,"{, 2023 #837}",10/15/23
113687,399180,0.9,,,IM-2000-199 Holotype,"{, 2023 #837}",10/15/23
113688,399193,0.92,,,IM-2000-2 Holotype,"{, 2023 #837}",10/15/23
113689,550031,3,,,IM-2000-20004 Néotype,"{, 2023 #837}",10/15/23
113690,434295,3.7,,,IM-2000-20005 Holotype,"{, 2023 #837}",10/15/23
113691,407868,1.46,,,IM-2000-20006 Holotype,"{, 2023 #837}",10/15/23
113692,399123,0.67,,,IM-2000-20009 Holotype,"{, 2023 #837}",10/15/23
113693,405949,2.35,,,IM-2000-20010 Holotype,"{, 2023 #837}",10/15/23
113694,434096,1.78,,,IM-2000-20014 Holotype,"{, 2023 #837}",10/15/23
113695,434097,1.26,,,IM-2000-20015 Holotype,"{, 2023 #837}",10/15/23
113696,390015,1.385,,,IM-2000-20020 Holotype,"{, 2023 #837}",10/15/23
113697,390427,1.65,,,IM-2000-20022 Holotype,"{, 2023 #837}",10/15/23
113698,390428,2.52,,,IM-2000-20023 Holotype,"{, 2023 #837}",10/15/23
113699,410267,12.82,,,IM-2000-20024 Syntype(s),"{, 2023 #837}",10/15/23
113700,574940,6.4,,,IM-2000-20025 Syntype(s),"{, 2023 #837}",10/15/23
113701,457679,5.38,,,IM-2000-20026 Holotype,"{, 2023 #837}",10/15/23
113702,457681,5.35,,,IM-2000-20028 Holotype,"{, 2023 #837}",10/15/23
113703,433099,9.8,,,IM-2000-20030 Holotype,"{, 2023 #837}",10/15/23
113704,181087,4.9,,,IM-2000-20031 Holotype,"{, 2023 #837}",10/15/23
113705,434616,1.09,,,IM-2000-20033 Holotype,"{, 2023 #837}",10/15/23
113706,458591,0.85,,,IM-2000-20036 Holotype,"{, 2023 #837}",10/15/23
113707,434621,7.2,,,IM-2000-20037 Holotype,"{, 2023 #837}",10/15/23
113708,181082,1.1,,,IM-2000-20040 Holotype,"{, 2023 #837}",10/15/23
113709,458596,1.21,,,IM-2000-20042 Holotype,"{, 2023 #837}",10/15/23
113710,458603,0.38,,,IM-2000-20044 Holotype,"{, 2023 #837}",10/15/23
113711,458604,0.38,,,IM-2000-20048 Holotype,"{, 2023 #837}",10/15/23
113712,458601,0.59,,,IM-2000-20049 Holotype,"{, 2023 #837}",10/15/23
113713,434618,2.59,,,IM-2000-20059 Holotype,"{, 2023 #837}",10/15/23
113714,458598,6.4,,,IM-2000-20061 Holotype,"{, 2023 #837}",10/15/23
113715,377886,2.1,,,IM-2000-20065 Holotype,"{, 2023 #837}",10/15/23
113716,377887,2.7,,,IM-2000-20067 Holotype,"{, 2023 #837}",10/15/23
113717,377888,0.75,,,IM-2000-20070 Holotype,"{, 2023 #837}",10/15/23
113718,378875,5,,,IM-2000-20072 Holotype,"{, 2023 #837}",10/15/23
113719,377801,4.73,,,IM-2000-20076 Holotype,"{, 2023 #837}",10/15/23
113720,377800,8.64,,,IM-2000-20080 Holotype,"{, 2023 #837}",10/15/23
113721,377803,7.89,,,IM-2000-20083 Holotype,"{, 2023 #837}",10/15/23
113722,377889,2.7,,,IM-2000-20089 Holotype,"{, 2023 #837}",10/15/23
113723,377890,1.97,,,IM-2000-20092 Holotype,"{, 2023 #837}",10/15/23
113724,377896,3.92,,,IM-2000-20094 Holotype,"{, 2023 #837}",10/15/23
113725,377897,3.85,,,IM-2000-20099 Holotype,"{, 2023 #837}",10/15/23
113726,458317,0.6,,,IM-2000-20102 Holotype,"{, 2023 #837}",10/15/23
113727,458315,1.2,,,IM-2000-20106 Holotype,"{, 2023 #837}",10/15/23
113728,458316,0.8,,,IM-2000-20109 Holotype,"{, 2023 #837}",10/15/23
113729,377893,0.51,,,IM-2000-20112 Holotype,"{, 2023 #837}",10/15/23
113730,377894,0.74,,,IM-2000-20115 Holotype,"{, 2023 #837}",10/15/23
113731,377895,0.84,,,IM-2000-20117 Holotype,"{, 2023 #837}",10/15/23
113732,377968,0.51,,,IM-2000-20120 Holotype,"{, 2023 #837}",10/15/23
113733,377969,0.42,,,IM-2000-20123 Holotype,"{, 2023 #837}",10/15/23
113734,377966,0.45,,,IM-2000-20128 Holotype,"{, 2023 #837}",10/15/23
113735,458314,0.253,,,IM-2000-20132 Holotype,"{, 2023 #837}",10/15/23
113736,377971,0.234,,,IM-2000-20137 Holotype,"{, 2023 #837}",10/15/23
113737,377898,1.12,,,IM-2000-20141 Holotype,"{, 2023 #837}",10/15/23
113738,377899,0.41,,,IM-2000-20143 Holotype,"{, 2023 #837}",10/15/23
113739,377900,0.36,,,IM-2000-20146 Holotype,"{, 2023 #837}",10/15/23
113740,377901,1.3,,,IM-2000-20149 Holotype,"{, 2023 #837}",10/15/23
113741,377972,0.39,,,IM-2000-20152 Holotype,"{, 2023 #837}",10/15/23
113742,377973,0.5,,,IM-2000-20155 Holotype,"{, 2023 #837}",10/15/23
113743,406272,0.82,,,IM-2000-20159 Holotype,"{, 2023 #837}",10/15/23
113744,404855,0.82,,,IM-2000-20161 Holotype,"{, 2023 #837}",10/15/23
113745,457609,1.51,,,IM-2000-20165 Holotype,"{, 2023 #837}",10/15/23
113746,404853,0.96,,,IM-2000-20166 Holotype,"{, 2023 #837}",10/15/23
113747,724685,2.09,,,IM-2000-20167 Holotype,"{, 2023 #837}",10/15/23
113748,738148,1.14,,,IM-2000-20171 Holotype,"{, 2023 #837}",10/15/23
113749,738317,1.12,,,IM-2000-20172 Holotype,"{, 2023 #837}",10/15/23
113750,408200,1.01,,,IM-2000-20175 Holotype,"{, 2023 #837}",10/15/23
113751,408189,1.23,,,IM-2000-20178 Holotype,"{, 2023 #837}",10/15/23
113752,399241,2.67,,,IM-2000-20180 Holotype,"{, 2023 #837}",10/15/23
113753,456847,10.3,,,IM-2000-20182 Holotype,"{, 2023 #837}",10/15/23
113754,458026,0.9,,,IM-2000-20184 Holotype,"{, 2023 #837}",10/15/23
113755,458027,1.89,,,IM-2000-20190 Holotype,"{, 2023 #837}",10/15/23
113756,458024,3.05,,,IM-2000-20200 Holotype,"{, 2023 #837}",10/15/23
113757,458029,1.67,,,IM-2000-20204 Holotype,"{, 2023 #837}",10/15/23
113758,458025,2.15,,,IM-2000-20206 Holotype,"{, 2023 #837}",10/15/23
113759,458020,1,,,IM-2000-20210 Holotype,"{, 2023 #837}",10/15/23
113760,458023,1.42,,,IM-2000-20220 Holotype,"{, 2023 #837}",10/15/23
113761,458021,0.86,,,IM-2000-20232 Holotype,"{, 2023 #837}",10/15/23
113762,458030,2.2,,,IM-2000-20235 Holotype,"{, 2023 #837}",10/15/23
113763,458032,1.3,,,IM-2000-20239 Holotype,"{, 2023 #837}",10/15/23
113764,458031,1.68,,,IM-2000-20241 Holotype,"{, 2023 #837}",10/15/23
113765,458033,1.19,,,IM-2000-20244 Holotype,"{, 2023 #837}",10/15/23
113766,386017,0.9,,,IM-2000-20247 Holotype,"{, 2023 #837}",10/15/23
113767,386184,0.9,,,IM-2000-20254 Holotype,"{, 2023 #837}",10/15/23
113768,458489,3,,,IM-2000-20260 Holotype,"{, 2023 #837}",10/15/23
113769,458431,0.9,,,IM-2000-20265 Holotype,"{, 2023 #837}",10/15/23
113770,458442,0.25,,,IM-2000-20270 Holotype,"{, 2023 #837}",10/15/23
113771,458480,1.5,,,IM-2000-20272 Holotype,"{, 2023 #837}",10/15/23
113772,458481,1.2,,,IM-2000-20279 Holotype,"{, 2023 #837}",10/15/23
113773,458482,1,,,IM-2000-20282 Holotype,"{, 2023 #837}",10/15/23
113774,458483,0.6,,,IM-2000-20284 Holotype,"{, 2023 #837}",10/15/23
113775,458485,0.75,,,IM-2000-20289 Holotype,"{, 2023 #837}",10/15/23
113776,458486,0.7,,,IM-2000-20293 Holotype,"{, 2023 #837}",10/15/23
113777,458487,1,,,IM-2000-20299 Holotype,"{, 2023 #837}",10/15/23
113778,458488,1.3,,,IM-2000-20303 Holotype,"{, 2023 #837}",10/15/23
113779,458490,0.9,,,IM-2000-20309 Holotype,"{, 2023 #837}",10/15/23
113780,458491,0.4,,,IM-2000-20313 Holotype,"{, 2023 #837}",10/15/23
113781,458492,0.5,,,IM-2000-20315 Holotype,"{, 2023 #837}",10/15/23
113782,458493,0.6,,,IM-2000-20317 Holotype,"{, 2023 #837}",10/15/23
113783,458494,1.1,,,IM-2000-20321 Holotype,"{, 2023 #837}",10/15/23
113784,458426,0.8,,,IM-2000-20332 Holotype,"{, 2023 #837}",10/15/23
113785,458445,0.15,,,IM-2000-20337 Holotype,"{, 2023 #837}",10/15/23
113786,458446,0.25,,,IM-2000-20340 Holotype,"{, 2023 #837}",10/15/23
113787,458479,1,,,IM-2000-20350 Holotype,"{, 2023 #837}",10/15/23
113788,458427,0.6,,,IM-2000-20352 Holotype,"{, 2023 #837}",10/15/23
113789,458428,0.6,,,IM-2000-20359 Holotype,"{, 2023 #837}",10/15/23
113790,458429,3.4,,,IM-2000-20363 Holotype,"{, 2023 #837}",10/15/23
113791,458430,0.6,,,IM-2000-20367 Holotype,"{, 2023 #837}",10/15/23
113792,458443,0.7,,,IM-2000-20378 Holotype,"{, 2023 #837}",10/15/23
113793,458444,0.7,,,IM-2000-20383 Holotype,"{, 2023 #837}",10/15/23
113794,458433,0.4,,,IM-2000-20389 Holotype,"{, 2023 #837}",10/15/23
113795,458434,1.8,,,IM-2000-20392 Holotype,"{, 2023 #837}",10/15/23
113796,458435,3.3,,,IM-2000-20396 Holotype,"{, 2023 #837}",10/15/23
113797,458436,1.1,,,IM-2000-20398 Holotype,"{, 2023 #837}",10/15/23
113798,458437,0.3,,,IM-2000-20405 Holotype,"{, 2023 #837}",10/15/23
113799,458438,0.25,,,IM-2000-20407 Holotype,"{, 2023 #837}",10/15/23
113800,458439,0.7,,,IM-2000-20410 Holotype,"{, 2023 #837}",10/15/23
113801,458440,0.2,,,IM-2000-20419 Holotype,"{, 2023 #837}",10/15/23
113802,458441,0.5,,,IM-2000-20423 Holotype,"{, 2023 #837}",10/15/23
113803,458447,0.4,,,IM-2000-20427 Holotype,"{, 2023 #837}",10/15/23
113804,458448,0.3,,,IM-2000-20430 Holotype,"{, 2023 #837}",10/15/23
113805,387377,6.58,,,IM-2000-20441 Holotype,"{, 2023 #837}",10/15/23
113806,387418,0.49,,,IM-2000-20448 Holotype,"{, 2023 #837}",10/15/23
113807,390670,1.79,,,IM-2000-20449 Holotype,"{, 2023 #837}",10/15/23
113808,390674,1.29,,,IM-2000-20455 Holotype,"{, 2023 #837}",10/15/23
113809,390678,0.53,,,IM-2000-20459 Holotype,"{, 2023 #837}",10/15/23
113810,390744,0.41,,,IM-2000-20461 Holotype,"{, 2023 #837}",10/15/23
113811,457385,6.37,,,IM-2000-20464 Holotype,"{, 2023 #837}",10/15/23
113812,457880,0.158,,,IM-2000-20465 Holotype,"{, 2023 #837}",10/15/23
113813,457881,0.331,,,IM-2000-20466 Holotype,"{, 2023 #837}",10/15/23
113814,457882,0.196,,,IM-2000-20467 Holotype,"{, 2023 #837}",10/15/23
113815,457883,0.202,,,IM-2000-20468 Holotype,"{, 2023 #837}",10/15/23
113816,457884,0.255,,,IM-2000-20469 Holotype,"{, 2023 #837}",10/15/23
113817,457885,0.317,,,IM-2000-20470 Holotype,"{, 2023 #837}",10/15/23
113818,457886,0.172,,,IM-2000-20471 Holotype,"{, 2023 #837}",10/15/23
113819,457887,0.233,,,IM-2000-20472 Holotype,"{, 2023 #837}",10/15/23
113820,457888,0.176,,,IM-2000-20473 Holotype,"{, 2023 #837}",10/15/23
113821,457889,0.243,,,IM-2000-20474 Holotype,"{, 2023 #837}",10/15/23
113822,457890,0.171,,,IM-2000-20475 Holotype,"{, 2023 #837}",10/15/23
113823,457891,0.184,,,IM-2000-20476 Holotype,"{, 2023 #837}",10/15/23
113824,457892,0.262,,,IM-2000-20477 Holotype,"{, 2023 #837}",10/15/23
113825,457893,0.18,,,IM-2000-20478 Holotype,"{, 2023 #837}",10/15/23
113826,457894,0.173,,,IM-2000-20479 Holotype,"{, 2023 #837}",10/15/23
113827,457895,0.214,,,IM-2000-20480 Holotype,"{, 2023 #837}",10/15/23
113828,456865,1.02,,,IM-2000-20498 Holotype,"{, 2023 #837}",10/15/23
113829,456866,1.32,,,IM-2000-20499 Holotype,"{, 2023 #837}",10/15/23
113830,399215,3.75,,,IM-2000-205 Holotype,"{, 2023 #837}",10/15/23
113831,456856,2.63,,,IM-2000-20500 Holotype,"{, 2023 #837}",10/15/23
113832,456860,1.7,,,IM-2000-20505 Holotype,"{, 2023 #837}",10/15/23
113833,456859,1.6,,,IM-2000-20507 Holotype,"{, 2023 #837}",10/15/23
113834,456857,0.74,,,IM-2000-20509 Holotype,"{, 2023 #837}",10/15/23
113835,456862,0.86,,,IM-2000-20511 Holotype,"{, 2023 #837}",10/15/23
113836,456861,1.93,,,IM-2000-20513 Holotype,"{, 2023 #837}",10/15/23
113837,1427771,1.77,,,IM-2000-20515 Holotype,"{, 2023 #837}",10/15/23
113838,456863,2.07,,,IM-2000-20516 Holotype,"{, 2023 #837}",10/15/23
113839,456864,0.7,,,IM-2000-20518 Holotype,"{, 2023 #837}",10/15/23
113840,456867,1.31,,,IM-2000-20519 Holotype,"{, 2023 #837}",10/15/23
113841,564561,4.08,,,IM-2000-20522 Néotype,"{, 2023 #837}",10/15/23
113842,456938,0.63,,,IM-2000-20524 Holotype,"{, 2023 #837}",10/15/23
113843,456940,0.93,,,IM-2000-20525 Holotype,"{, 2023 #837}",10/15/23
113844,456939,0.96,,,IM-2000-20526 Holotype,"{, 2023 #837}",10/15/23
113845,408730,1.335,,,IM-2000-20527 Holotype,"{, 2023 #837}",10/15/23
113846,456950,1.28,,,IM-2000-20528 Holotype,"{, 2023 #837}",10/15/23
113847,456947,1.28,,,IM-2000-20529 Holotype,"{, 2023 #837}",10/15/23
113848,456946,1.31,,,IM-2000-20530 Holotype,"{, 2023 #837}",10/15/23
113849,456944,1.12,,,IM-2000-20531 Holotype,"{, 2023 #837}",10/15/23
113850,409983,2.935,,,IM-2000-20532 Holotype,"{, 2023 #837}",10/15/23
113851,456951,0.95,,,IM-2000-20533 Holotype,"{, 2023 #837}",10/15/23
113852,434264,0.825,,,IM-2000-20534 Holotype,"{, 2023 #837}",10/15/23
113853,456942,0.72,,,IM-2000-20535 Holotype,"{, 2023 #837}",10/15/23
113854,456941,0.835,,,IM-2000-20536 Holotype,"{, 2023 #837}",10/15/23
113855,456948,0.94,,,IM-2000-20537 Holotype,"{, 2023 #837}",10/15/23
113856,456936,1.7,,,IM-2000-20538 Holotype,"{, 2023 #837}",10/15/23
113857,431034,0.89,,,IM-2000-20539 Holotype,"{, 2023 #837}",10/15/23
113858,456945,0.655,,,IM-2000-20540 Holotype,"{, 2023 #837}",10/15/23
113859,457088,9.56,,,IM-2000-20542 Holotype,"{, 2023 #837}",10/15/23
113860,457088,10.4,,,IM-2000-20545 Paratype(s),"{, 2023 #837}",10/15/23
113861,457089,6.68,,,IM-2000-20546 Holotype,"{, 2023 #837}",10/15/23
113862,457090,3.07,,,IM-2000-20548 Holotype,"{, 2023 #837}",10/15/23
113863,457087,9.62,,,IM-2000-20550 Holotype,"{, 2023 #837}",10/15/23
113864,457702,0.68,,,IM-2000-20554 Holotype,"{, 2023 #837}",10/15/23
113865,457614,30,,,IM-2000-20570 Holotype,"{, 2023 #837}",10/15/23
113866,457705,2.07,,,IM-2000-20571 Holotype,"{, 2023 #837}",10/15/23
113867,457368,8.23,,,IM-2000-20578 Holotype,"{, 2023 #837}",10/15/23
113868,456905,0.39,,,IM-2000-20580 Holotype,"{, 2023 #837}",10/15/23
113869,456908,0.43,,,IM-2000-20582 Holotype,"{, 2023 #837}",10/15/23
113870,456891,0.415,,,IM-2000-20584 Holotype,"{, 2023 #837}",10/15/23
