name,cor,med_diff,mean_diff,sd_diff,max_diff,max_sp
64,0.9831222086113391,19,490.351692273844,1360.7263680391118,25264.5,111352
65,0.9840108854662613,19.5,487.41839316490046,1320.7162974615017,25574,111072
66,0.9822979756056749,20.5,503.79087675552785,1392.9755248297972,25032,111072
67,0.984221510345324,21,478.69066040849253,1314.0078262521204,25397,111158
68,0.98159700459225,16,497.2390818085145,1426.122657867725,25272.5,111431
69,0.9836632492745776,23,490.03281874518717,1335.9742319818586,25580,111072
70,0.9824276652085977,21.5,497.9812254776136,1389.2893414122282,24943.5,111158
71,0.983621963002519,21.5,484.4975615122291,1339.90196069264,24918,111158
72,0.9833339602277974,21.5,484.34886876168827,1353.2105946493728,25129.5,111362
73,0.9839678835466182,23.5,476.74196032415387,1326.618432187469,25414,761621
74,0.9829153196541288,21,484.81240145209193,1372.0868492225732,25145,111362
75,0.9825898291853575,32,492.20387957904,1384.1046032668057,25422,761621
76,0.9830977529658048,28,492.20351288914964,1361.1709460973582,25592,111072
77,0.9836540708072632,24.5,484.9636243628763,1338.2475328445332,25203,111352
78,0.9834374444231782,23.5,486.3928715485314,1347.7272111287766,25373,111158
79,0.9828838409017896,26,498.61545231197977,1368.5572375864895,24975,111158
80,0.9833685630763991,27,493.28708151516264,1348.3893555021461,24930,111072
81,0.9829913143837736,26,497.11756077884934,1364.2287054204198,25531.5,111431
82,0.9826316358994199,20,497.291555131825,1380.4091126719727,24927,111072
83,0.9843979157184056,22,480.1306882769242,1305.132356645036,24884.5,111352
84,0.9827455238519767,24,499.9363793040226,1374.3269362523488,25270.5,111431
85,0.9816592887849522,21,502.7372300245682,1421.4806473413757,25512.5,111431
86,0.9837072965618004,23,486.67316930072235,1335.1580182092623,24893.5,111352
87,0.9828197833523427,22,496.3032892083165,1372.293453538787,24852.5,111431
88,0.9825485761850791,22,494.1364086392138,1385.2623800728243,25601.5,111072
89,0.9837227305029606,28.5,492.1684940046203,1332.4247588239375,25582.5,111072
90,0.9820601478740465,26.5,504.4704631293315,1403.2726131325321,25406,761621
91,0.9831919662675433,28,494.3719335557919,1356.0865762994017,24557,1326881
92,0.982923129644494,26.5,497.9343258406366,1367.0252097887335,25388,761621
93,0.9830843972851986,32.5,493.3099629643211,1361.379148762159,25324.5,111431
94,0.9833028259775071,21.5,482.975505115324,1355.1264399962374,25571,111072
95,0.9823477612566661,23.5,497.69722415753,1392.950854600619,25258,111352
96,0.9828515711623207,30,496.4136628653148,1370.8172930466078,24558,111354
97,0.9834065354448499,22,489.74892743207073,1347.9331707871063,25050.5,111362
98,0.9829807913474461,15,490.96714458582375,1366.9308945728178,25582.5,111072
99,0.9830201879503893,15.5,489.63822375417107,1365.6208765749827,25540.5,111431
100,0.9836363152482532,30.5,491.01199075941474,1336.8632059112715,24824,111425
101,0.9824909261933851,22.5,499.0283817975139,1386.088193143727,25057,111362
102,0.98261160697134875,22.5,491.34879542371016,1383.4325665728763,25605.5,111072
103,0.9834985717478055,18.5,493.8198085878772,1342.204281849401,24217,111355
104,0.9839367723684425,16.5,479.6588317260093,1327.0202313244317,25582,111072
105,0.9830253368435581,24,493.22921785046384,1364.0941177934624,25067.5,111431
106,0.9837065020115474,29,486.79399361959594,1335.1506395242752,25066.5,111362
107,0.9841241005084588,28.5,486.6930805617689,1315.6615577938564,24958.5,111158
108,0.9838573868476417,27,482.932749074108,1329.537848667738,25024.5,111072
109,0.982565668531262,21,497.7136885336071,1383.215822987227,24863,111158
110,0.982316238718576,23.5,500.9829489200983,1393.1750400733956,25249,111431
111,0.9832908261686588,19.5,484.6816398371897,1355.066278741943,25234.5,111431
112,0.9835251789454106,21,488.3902680503099,1342.9617982986947,24810,111425
113,0.9838936295907327,25.5,478.6868835026218,1329.3838783419687,25123.5,111362
114,0.9833238962077546,27.5,488.9194015620989,1352.0276348328973,25255.5,111431
115,0.9841266902738921,25,485.7793260239815,1315.8770527413292,25246,111431
116,0.98299574244486565,23,490.72428587143855,1366.340361846799,25034.5,111072
117,0.9825658417611292,28,502.66315866671556,1381.4170252280305,24853.5,111431
118,0.9829723691726643,23.5,492.585127058047,1366.7307823194285,25577,111072
119,0.983211342851285,19,482.7653184701698,1359.3787448764735,25534.5,111431
120,0.98357277945899,22.5,486.2672435920942,1341.535216730255,24937,111072
121,0.982925328424641,24.5,494.64588757287964,1368.1193071608168,25055.5,111362
122,0.983588013026648,28.5,494.3663965384474,1337.86605165314,24860,111431
123,0.9827849508356618,23,493.2795643724102,1374.9545643871743,25059.5,111362
124,0.9819328894281848,22,498.716585383741,1410.928850598683,25550,111431
125,0.9823421468385822,19.5,498.0080671775879,1393.0893481239614,25037,111362
126,0.9841625643516947,20.5,474.7348465402809,1318.2164909742519,25313.5,111431
